date,sleep_duration,steps,active_energy,exercise_time,stand_hours,sleep_onset,wake_time,awake_count,awake_duration,longest_awake_duration,first_morning_awake_time
2026-03-01,5.9447222222222225,34347.0,1545.1360000000075,232.0,17.0,24.116666666666667,32.265277777777776,2.0,12.033333333333333,9.033333333333333,29.999444444444443
2026-03-02,7.935,16828.0,396.6850000000004,39.0,11.0,25.5,30.053333333333335,1.0,0.5,0.5,NA
2026-03-03,4.531666666666667,9426.0,343.00799999999884,26.0,12.0,25.45,32.03888888888889,0.0,0.0,0.0,NA
2026-03-04,6.58861111111111,14650.0,377.22099999999944,42.0,12.0,25.733333333333334,33.013888888888886,4.0,9.533333333333333,6.016666666666667,31.75138888888889
2026-03-05,7.115277777777779,18869.0,428.35599999999613,53.0,15.0,25.566666666666666,31.596944444444446,5.0,80.76666666666667,72.23333333333333,29.08833333333333
2026-03-06,4.674444444444444,13226.0,373.19099999999736,45.0,12.0,25.28333333333333,31.842777777777776,2.0,19.566666666666666,18.566666666666666,31.475
2026-03-07,6.220833333333332,26378.0,735.176,108.0,16.0,25.4,31.668333333333333,0.0,0.0,0.0,NA
2026-03-08,6.254166666666666,23172.0,468.6480000000001,54.0,14.0,25.633333333333333,33.18555555555555,2.0,10.533333333333333,9.033333333333333,30.93638888888889
2026-03-09,7.36638888888889,21260.0,463.76099999999906,40.0,14.0,25.683333333333334,32.38666666666667,4.0,11.033333333333331,4.016666666666667,31.684444444444445
2026-03-10,6.513611111111112,10102.0,351.249999999998,37.0,16.0,26.166666666666668,31.4675,1.0,1.0166666666666666,1.0166666666666666,NA
2026-03-11,5.275833333333334,27420.0,525.5859999999967,37.0,16.0,25.75,32.37361111111111,2.0,2.0166666666666666,1.5166666666666666,32.29
2026-03-12,6.58861111111111,13671.0,364.9599999999984,32.0,12.0,26.116666666666667,29.70861111111111,2.0,4.016666666666667,3.0166666666666666,29.625
2026-03-13,3.5199999999999996,20212.0,451.4369999999999,23.0,17.0,25.183333333333334,32.37138888888889,3.0,3.0166666666666666,2.0166666666666666,31.384722222222223
2026-03-14,7.123888888888888,26169.0,493.0189999999997,53.0,15.0,25.066666666666666,32.60583333333334,4.0,14.05,8.533333333333333,29.64611111111111
2026-03-15,7.291111111111111,25670.0,665.2429999999963,83.0,14.0,25.583333333333332,32.335,3.0,9.016666666666666,6.016666666666667,29.02388888888889
2026-03-16,6.589166666666667,27906.0,541.9840000000004,56.0,16.0,25.316666666666666,31.712777777777777,7.0,12.55,5.016666666666667,30.826666666666668
2026-03-17,6.1705555555555565,16937.0,428.82999999999805,42.0,12.0,25.516666666666666,31.753055555555555,3.0,4.55,2.0166666666666666,NA
2026-03-18,6.153333333333333,17406.0,415.41799999999995,37.0,11.0,25.883333333333333,31.473333333333333,3.0,7.533333333333333,3.0,30.219166666666666
2026-03-19,5.459722222222222,29562.0,599.0080000000021,49.0,16.0,26.03333333333333,31.674166666666668,3.0,11.533333333333333,10.533333333333333,29.968611111111112
2026-03-20,5.434999999999999,18156.0,632.9459999999992,83.0,13.0,25.366666666666667,32.08083333333333,1.0,1.0,1.0,NA
2026-03-21,6.68888888888889,35256.0,629.7620000000001,70.0,15.0,25.633333333333333,32.96944444444445,9.0,16.566666666666666,7.533333333333333,29.357222222222223
2026-03-22,7.0569444444444445,14766.0,481.7430000000014,74.0,12.0,25.516666666666666,33.155833333333334,2.0,9.533333333333333,7.533333333333333,29.895
2026-03-23,7.466388888888889,9435.0,320.67699999999763,27.0,15.0,25.866666666666667,32.805277777777775,1.0,2.0166666666666666,2.0166666666666666,31.4675
2026-03-24,6.889444444444445,13093.0,380.1539999999997,31.0,13.0,26.166666666666668,32.3275,2.0,3.0,2.0,31.17361111111111
2026-03-25,6.095833333333333,12719.0,386.99999999999744,32.0,14.0,25.71666666666667,32.455,4.0,11.533333333333333,4.516666666666667,30.038333333333334
2026-03-26,6.538611111111111,17359.0,424.6419999999956,53.0,12.0,25.21666666666667,32.468333333333334,1.0,1.5,1.5,29.215833333333332
2026-03-27,7.215833333333333,15894.0,614.581999999999,96.0,13.0,25.833333333333332,33.49805555555555,2.0,1.5166666666666666,1.0,NA
2026-03-28,7.633888888888889,26394.0,460.7169999999989,43.0,12.0,25.816666666666666,32.1875,3.0,3.5166666666666666,2.0,30.155833333333334
2026-03-29,6.295833333333334,22822.0,458.7239999999978,48.0,12.0,25.65,32.712777777777774,2.0,11.533333333333333,10.533333333333333,30.363055555555555
2026-03-30,6.864722222222223,22309.0,434.1820000000011,42.0,13.0,25.766666666666666,32.140277777777776,2.0,2.0166666666666666,1.5166666666666666,31.788888888888888
2026-03-31,6.3294444444444435,15268.0,384.388,29.0,13.0,25.35,33.13583333333333,4.0,8.533333333333333,4.516666666666667,31.011944444444445
