week,week_start,week_end,metric,metric_name,unit,target_value,lower_is_better,average,maximum,minimum,achieved_days,valid_days,missing_days,achievement_rate
2026-W09,2026-02-23,2026-03-01,exercise_time,Exercise Time,minutes,30.0,False,77.14285714285714,232.0,21.0,5,7,0,71.42857142857143
2026-W09,2026-02-23,2026-03-01,stand_hours,Stand Hours,hours,12.0,False,14.428571428571429,17.0,10.0,6,7,0,85.71428571428571
2026-W09,2026-02-23,2026-03-01,sleep_onset,Sleep Onset Time,hours,25.5,True,25.226190476190474,25.883333333333333,24.116666666666667,6,7,0,85.71428571428571
2026-W09,2026-02-23,2026-03-01,wake_time,Wake Time,hours,32.5,True,31.77714285714286,32.376666666666665,31.04138888888889,7,7,0,100.0
2026-W09,2026-02-23,2026-03-01,awake_count,Awake Count,times,1.0,True,2.142857142857143,4.0,0.0,1,7,0,14.285714285714285
2026-W09,2026-02-23,2026-03-01,awake_duration,Awake Duration,minutes,5.0,True,8.095238095238095,17.05,0.0,3,7,0,42.857142857142854
2026-W09,2026-02-23,2026-03-01,longest_awake_duration,Longest Awake Duration,minutes,5.0,True,6.019047619047619,15.05,0.0,3,7,0,42.857142857142854
2026-W09,2026-02-23,2026-03-01,first_morning_awake_time,First Morning Awake Time,hours,31.0,False,30.41055555555555,31.21611111111111,29.176944444444445,1,6,1,16.666666666666664
2026-W10,2026-03-02,2026-03-08,sleep_duration,Sleep Duration,hours,6.5,False,6.188571428571428,7.935,4.531666666666667,3,7,0,42.857142857142854
2026-W10,2026-03-02,2026-03-08,steps,Steps,steps,15000.0,False,17507.0,26378.0,9426.0,4,7,0,57.14285714285714
2026-W10,2026-03-02,2026-03-08,active_energy,Active Energy Burned,kcal,500.0,False,446.04071428571325,735.176,343.00799999999884,1,7,0,14.285714285714285
2026-W10,2026-03-02,2026-03-08,exercise_time,Exercise Time,minutes,30.0,False,52.42857142857143,108.0,26.0,6,7,0,85.71428571428571
2026-W10,2026-03-02,2026-03-08,stand_hours,Stand Hours,hours,12.0,False,13.142857142857142,16.0,11.0,6,7,0,85.71428571428571
2026-W10,2026-03-02,2026-03-08,sleep_onset,Sleep Onset Time,hours,25.5,True,25.50952380952381,25.733333333333334,25.28333333333333,4,7,0,57.14285714285714
2026-W10,2026-03-02,2026-03-08,wake_time,Wake Time,hours,32.5,True,31.914246031746035,33.18555555555555,30.053333333333335,5,7,0,71.42857142857143
2026-W10,2026-03-02,2026-03-08,awake_count,Awake Count,times,1.0,True,2.0,5.0,0.0,3,7,0,42.857142857142854
2026-W10,2026-03-02,2026-03-08,awake_duration,Awake Duration,minutes,5.0,True,17.27142857142857,80.76666666666667,0.0,3,7,0,42.857142857142854
2026-W10,2026-03-02,2026-03-08,longest_awake_duration,Longest Awake Duration,minutes,5.0,True,15.192857142857141,72.23333333333333,0.0,3,7,0,42.857142857142854
2026-W10,2026-03-02,2026-03-08,first_morning_awake_time,First Morning Awake Time,hours,31.0,False,30.81277777777778,31.75138888888889,29.08833333333333,2,4,3,50.0
2026-W11,2026-03-09,2026-03-15,sleep_duration,Sleep Duration,hours,6.5,False,6.239920634920636,7.36638888888889,3.5199999999999996,5,7,0,71.42857142857143
2026-W11,2026-03-09,2026-03-15,steps,Steps,steps,15000.0,False,20643.428571428572,27420.0,10102.0,5,7,0,71.42857142857143
2026-W11,2026-03-09,2026-03-15,active_energy,Active Energy Burned,kcal,500.0,False,473.60799999999836,665.2429999999963,351.249999999998,2,7,0,28.57142857142857
2026-W11,2026-03-09,2026-03-15,exercise_time,Exercise Time,minutes,30.0,False,43.57142857142857,83.0,23.0,6,7,0,85.71428571428571
2026-W11,2026-03-09,2026-03-15,stand_hours,Stand Hours,hours,12.0,False,14.857142857142858,17.0,12.0,7,7,0,100.0
2026-W11,2026-03-09,2026-03-15,sleep_onset,Sleep Onset Time,hours,25.5,True,25.650000000000002,26.166666666666668,25.066666666666663,2,7,0,28.57142857142857
2026-W11,2026-03-09,2026-03-15,wake_time,Wake Time,hours,32.5,True,31.892658730158736,32.60583333333334,29.70861111111111,6,7,0,85.71428571428571
2026-W11,2026-03-09,2026-03-15,awake_count,Awake Count,times,1.0,True,2.7142857142857144,4.0,1.0,1,7,0,14.285714285714285
2026-W11,2026-03-09,2026-03-15,awake_duration,Awake Duration,minutes,5.0,True,6.309523809523808,14.05,1.0166666666666666,4,7,0,57.14285714285714
2026-W11,2026-03-09,2026-03-15,longest_awake_duration,Longest Awake Duration,minutes,5.0,True,3.7333333333333334,8.533333333333333,1.0166666666666666,5,7,0,71.42857142857143
2026-W11,2026-03-09,2026-03-15,first_morning_awake_time,First Morning Awake Time,hours,31.0,False,30.609027777777783,32.29,29.02388888888889,3,6,1,50.0
2026-W12,2026-03-16,2026-03-22,sleep_duration,Sleep Duration,hours,6.5,False,6.221944444444445,7.0569444444444445,5.434999999999999,3,7,0,42.857142857142854
2026-W12,2026-03-16,2026-03-22,steps,Steps,steps,15000.0,False,22855.571428571428,35256.0,14766.0,6,7,0,85.71428571428571
2026-W12,2026-03-16,2026-03-22,active_energy,Active Energy Burned,kcal,500.0,False,532.8130000000002,632.9459999999992,415.4179999999999,4,7,0,57.14285714285714
2026-W12,2026-03-16,2026-03-22,exercise_time,Exercise Time,minutes,30.0,False,58.714285714285715,83.0,37.0,7,7,0,100.0
2026-W12,2026-03-16,2026-03-22,stand_hours,Stand Hours,hours,12.0,False,13.571428571428571,16.0,11.0,6,7,0,85.71428571428571
