date,sleep_duration,steps,active_energy,exercise_time,stand_hours,sleep_onset,wake_time,awake_count,awake_duration,longest_awake_duration,first_morning_awake_time
2026-06-01,5.693888888888889,15670.0,371.3049999999999,20.0,13.0,26.1,32.39666666666667,1.0,4.016666666666667,4.016666666666667,29.31972222222222
2026-06-02,6.220833333333333,10966.0,328.1139999999993,24.0,13.0,25.916666666666668,33.19,3.0,7.516666666666667,5.516666666666667,31.802222222222223
2026-06-03,7.132222222222222,12883.0,375.66400000000135,31.0,9.0,25.78333333333333,32.719166666666666,2.0,6.533333333333333,5.516666666666667,NA
2026-06-04,6.814166666666665,15673.0,389.3429999999966,38.0,14.0,26.21666666666667,32.066944444444445,1.0,5.516666666666667,5.516666666666667,31.155555555555555
2026-06-05,5.7525,24304.0,535.6009999999955,46.0,13.0,26.65,32.903333333333336,4.0,12.533333333333333,6.016666666666667,29.58361111111111
2026-06-06,6.028888888888888,31043.0,612.5029999999833,66.0,13.0,26.683333333333334,32.72611111111111,2.0,2.033333333333333,1.5166666666666666,32.12416666666667
2026-06-07,6.002777777777778,11557.0,297.75700000000035,29.0,11.0,25.96666666666667,33.48638888888889,2.0,2.5,1.5,31.68888888888889
2026-06-08,7.474999999999999,14915.0,337.781000000001,21.0,11.0,26.233333333333334,33.361666666666665,3.0,13.533333333333333,10.033333333333333,29.49861111111111
2026-06-09,6.898333333333334,11256.0,333.3199999999984,22.0,12.0,26.9,30.017222222222223,2.0,4.516666666666667,3.0166666666666666,29.45722222222222
2026-06-10,3.035,25767.0,585.0189999999965,62.0,15.0,26.133333333333333,32.58388888888889,1.0,1.0166666666666666,1.0166666666666666,31.128888888888888
2026-06-11,6.429722222222222,33216.0,580.625999999998,56.0,15.0,25.866666666666667,30.849722222222223,4.0,14.55,5.516666666666667,29.336388888888887
2026-06-12,5.008611111111112,19984.0,381.3750000000001,15.0,16.0,23.7,32.35305555555556,2.0,1.5,1.0,31.943333333333335
2026-06-13,8.328055555555556,21382.0,453.812999999995,43.0,13.0,25.85,32.50638888888889,3.0,5.016666666666667,3.5166666666666666,31.829166666666666
2026-06-14,6.563611111111112,27633.0,485.49399999999963,39.0,14.0,25.333333333333332,33.02777777777778,6.0,122.39999999999999,113.36666666666666,30.017777777777777
2026-06-15,5.644166666666666,22399.0,500.9229999999808,60.0,14.0,25.266666666666666,32.466944444444444,1.0,6.533333333333333,6.533333333333333,32.341388888888886
2026-06-16,7.090277777777779,14143.0,356.2049999999978,23.0,12.0,26.21666666666667,32.7,2.0,3.0,2.0,31.429166666666667
2026-06-17,6.430000000000001,10128.0,341.8829999999992,26.0,12.0,26.0,32.77472222222222,0.0,0.0,0.0,NA
2026-06-18,6.764166666666666,28165.0,530.9759999999904,68.0,14.0,25.916666666666668,33.2475,1.0,0.5,0.5,NA
2026-06-19,7.316388888888889,21248.0,516.7889999999891,47.0,12.0,26.21666666666667,31.64361111111111,3.0,6.016666666666667,2.5166666666666666,30.372777777777777
2026-06-20,5.317777777777779,12525.0,361.6889999999986,26.0,16.0,25.8,32.12638888888889,3.0,7.033333333333333,3.0166666666666666,31.273333333333333
2026-06-21,6.195555555555556,21290.0,412.5049999999993,23.0,13.0,25.266666666666666,32.85527777777778,0.0,0.0,0.0,NA
2026-06-22,7.583611111111111,13021.0,346.4409999999974,23.0,12.0,25.65,32.358333333333334,2.0,17.55,15.55,30.6275
2026-06-23,6.413333333333334,16270.0,414.32399999999666,34.0,13.0,25.78333333333333,32.20055555555555,1.0,1.0,1.0,NA
2026-06-24,6.396388888888889,17008.0,390.7609999999965,29.0,15.0,25.9,32.344722222222224,6.0,12.533333333333331,4.016666666666667,29.886666666666667
2026-06-25,6.229166666666668,7627.0,281.5759999999958,17.0,14.0,25.766666666666666,32.090555555555554,1.0,1.0,1.0,30.551944444444445
2026-06-26,6.29611111111111,10389.0,373.0280000000002,13.0,12.0,25.5,32.40222222222222,2.0,1.5,1.0,29.9525
2026-06-27,6.864444444444445,26049.0,510.94299999999816,50.0,14.0,25.333333333333332,32.240833333333335,2.0,16.066666666666666,10.55,31.053333333333335
2026-06-28,6.6386111111111115,15071.0,361.2659999999969,38.0,14.0,25.8,32.598333333333336,2.0,12.533333333333333,7.016666666666667,31.611666666666665
2026-06-29,6.580555555555556,28237.0,516.7169999999995,61.0,14.0,25.21666666666667,32.25083333333333,2.0,8.016666666666666,6.016666666666667,NA
2026-06-30,6.898333333333333,23383.0,469.35399999999663,50.0,12.0,26.28333333333333,31.398611111111112,0.0,0.0,0.0,NA
